data,nome_festivo
2009-01-01,Capodanno
2009-04-10,Venerdì Santo
2009-04-13,Lunedì dell'Angelo
2009-05-04,Early May Bank Holiday
2009-05-25,Spring Bank Holiday
2009-08-31,Summer Bank Holiday
2009-12-25,Natale
2009-12-28,Santo Stefano (recupero)
2010-01-01,Capodanno
2010-04-02,Venerdì Santo
2010-04-05,Lunedì dell'Angelo
2010-05-03,Early May Bank Holiday
2010-05-31,Spring Bank Holiday
2010-08-30,Summer Bank Holiday
2010-12-27,Natale (recupero)
2010-12-28,Santo Stefano (recupero)
2011-01-03,Capodanno (recupero)
2011-04-22,Venerdì Santo
2011-04-25,Lunedì dell'Angelo
2011-04-29,Matrimonio reale
2011-05-02,Early May Bank Holiday
2011-05-30,Spring Bank Holiday
2011-08-29,Summer Bank Holiday
2011-12-26,Santo Stefano
2011-12-27,Natale (recupero)
